Date/Time,Word Count,ca-ES,en-US,es-ES
2024.04.17-00.02.25,247,0,0,247
2024.04.17-00.05.45,247,42,0,247
2024.04.17-00.06.04,247,42,42,247
2024.04.17-00.08.38,226,42,42,226
2024.04.17-00.14.22,216,42,42,216
2024.04.17-00.20.14,214,48,42,214
2024.05.08-17.45.28,245,48,42,245
2024.05.11-18.50.54,366,30,24,366
2024.05.11-18.52.54,306,30,24,306
2024.05.11-19.01.11,309,30,24,309
2024.05.11-19.04.19,277,29,23,277
2024.05.11-19.19.55,281,29,23,281
2024.05.11-19.27.39,280,29,23,280
2024.05.11-19.52.50,286,23,23,286
2024.05.11-20.02.50,275,23,23,275
2024.05.11-20.08.45,273,23,23,273
2024.05.11-20.09.41,272,23,23,272
2024.05.11-20.14.18,272,27,23,272
2024.05.11-20.18.42,274,59,23,274
2024.05.11-20.35.22,274,128,131,274
2024.05.11-20.46.55,274,274,163,274
2024.05.11-22.54.32,274,274,274,274
